Date,VIX_Close
2015-01-02,17.790000
2015-01-05,19.920000
2015-01-06,21.120000
2015-01-07,19.310000
2015-01-08,17.010000
2015-01-09,17.550000
2015-01-12,19.600000
2015-01-13,20.560000
2015-01-14,21.480000
2015-01-15,22.390000
2015-01-16,20.950000
2015-01-20,19.890000
2015-01-21,18.850000
2015-01-22,16.400000
2015-01-23,16.660000
2015-01-26,15.520000
2015-01-27,17.220000
2015-01-28,20.440000
2015-01-29,18.760000
2015-01-30,20.970000
2015-02-02,19.430000
2015-02-03,17.330000
2015-02-04,18.330000
2015-02-05,16.850000
2015-02-06,17.290000
2015-02-09,18.550000
2015-02-10,17.230000
2015-02-11,16.960000
2015-02-12,15.340000
2015-02-13,14.690000
2015-02-17,15.800000
2015-02-18,15.450000
2015-02-19,15.290000
2015-02-20,14.300000
2015-02-23,14.560000
2015-02-24,13.690000
2015-02-25,13.840000
2015-02-26,13.910000
2015-02-27,13.340000
2015-03-02,13.040000
2015-03-03,13.860000
2015-03-04,14.230000
2015-03-05,14.040000
2015-03-06,15.200000
2015-03-09,15.060000
2015-03-10,16.690000
2015-03-11,16.870000
2015-03-12,15.420000
2015-03-13,16.000000
2015-03-16,15.610000
2015-03-17,15.660000
2015-03-18,13.970000
2015-03-19,14.070000
2015-03-20,13.020000
2015-03-23,13.410000
2015-03-24,13.620000
2015-03-25,15.440000
2015-03-26,15.800000
2015-03-27,15.070000
2015-03-30,14.510000
2015-03-31,15.290000
2015-04-01,15.110000
2015-04-02,14.670000
2015-04-06,14.740000
2015-04-07,14.780000
2015-04-08,13.980000
2015-04-09,13.090000
2015-04-10,12.580000
2015-04-13,13.940000
2015-04-14,13.670000
2015-04-15,12.840000
2015-04-16,12.600000
2015-04-17,13.890000
2015-04-20,13.300000
2015-04-21,13.250000
2015-04-22,12.710000
2015-04-23,12.480000
2015-04-24,12.290000
2015-04-27,13.120000
2015-04-28,12.410000
2015-04-29,13.390000
2015-04-30,14.550000
2015-05-01,12.700000
2015-05-04,12.850000
2015-05-05,14.310000
2015-05-06,15.150000
2015-05-07,15.130000
2015-05-08,12.860000
2015-05-11,13.850000
2015-05-12,13.860000
2015-05-13,13.760000
2015-05-14,12.740000
2015-05-15,12.380000
2015-05-18,12.730000
2015-05-19,12.850000
2015-05-20,12.880000
2015-05-21,12.110000
2015-05-22,12.130000
2015-05-26,14.060000
2015-05-27,13.270000
2015-05-28,13.310000
2015-05-29,13.840000
2015-06-01,13.970000
2015-06-02,14.240000
2015-06-03,13.660000
2015-06-04,14.710000
2015-06-05,14.210000
